Investment Manager Allocator ID,n_rows,n_funds,n_companies,completeness
A2e3873,64,1,12,1.0
A96d213,18,1,3,1.0
A372a3f,684,2,101,1.0
A61c681,372,3,51,1.0
A6a2191,54,1,9,1.0
A4f8dbc,48,1,8,1.0
A4d29bc,115,1,20,1.0
A9b5f84,446,2,75,1.0
A44e6c2,66,2,11,1.0
A2f186b,124,3,23,1.0
A15464a,72,1,12,1.0
Ab02df9,422,3,43,0.9996614759647935
A945638,5459,12,866,0.9996074634286761
Aac22ed,258,2,43,0.9994462901439646
A2d789a,7045,19,1087,0.9993713880158167
Af8a639,1124,3,149,0.9992374173868835
A08aac2,198,1,33,0.9985569985569985
c51f36,384,1,129,0.998139880952381
Ac758cf,85,2,15,0.9966386554621849
A0c2722,106,1,18,0.9959568733153639
A4a1f26,1489,7,245,0.995778566631488
khepcn,29,1,29,0.9950738916256158
A041a39,3567,17,566,0.9949937923024551
A026529,7259,33,994,0.994076319052211
Aded344,791,14,129,0.9940400939136715
Aa3bbc4,220,3,35,0.9902597402597403
Aa130ea,1565,4,257,0.9896850753080786
Ad70035,27,5,5,0.9894179894179894
A0f94cb,45,1,9,0.9873015873015873
A7b4b7c,758,5,152,0.9854881266490765
Afbe003,97,2,18,0.9852724594992636
Ab9d621,1118,4,205,0.9842831587017633
A775492,943,6,162,0.9833358582033025
A6941fe,663,7,332,0.9801766860590391
A128c7a,69,2,11,0.979296066252588
A8be668,1490,8,270,0.974209012464046
Ac17925,535,3,102,0.9738317757009345
A6a0407,258,5,50,0.9712070874861573
Aa8e77d,587,10,91,0.9671452908250181
A7970a7,306,4,50,0.9663865546218487
Acdb9df,109,2,34,0.9554390563564876
Ad647a1,943,2,213,0.9553098015452204
A6a28da,92,2,15,0.953416149068323
Ac37569,173,2,26,0.9521056977704376
A69ce65,193,5,32,0.9511472982975574
Af8f7a9,1183,7,187,0.9487984542929597
A3d16f4,192,5,33,0.9486607142857143
A619a99,297,3,60,0.9470899470899471
A899074,302,5,44,0.9408703878902555
Ab27df1,45,2,9,0.9396825396825397
A02cb18,292,3,46,0.9373776908023483
A8e74aa,642,2,132,0.9332443257676902
Ab26f76,461,2,91,0.9302757979547567
A3ecea4,180,2,33,0.9261904761904762
A586fd2,461,2,93,0.920359466997211
Acc91f3,385,4,86,0.9191094619666049
A6c1ccf,259,8,33,0.918918918918919
Aeedbe6,126,2,21,0.9149659863945578
A7b259c,62,2,11,0.912442396313364
A664a6a,83,4,13,0.9122203098106711
A97e2ad,64,13,13,0.9107142857142857
3.95E+42,381,7,40,0.9100112485939257
A91b7d0,134,2,27,0.9093816631130063
A01041e,106,1,24,0.9083557951482479
A7d02b3,1152,2,205,0.8430059523809523
A7dd292,104,2,26,0.8296703296703296
A24f078,49,1,17,0.8221574344023324
A8bd477,239,9,40,0.8129109384339509
A65900b,375,5,59,0.7977142857142857
Afc0dbf,186,6,36,0.7956989247311829
A3e342a,92,3,15,0.7701863354037267
A8d1733,274,6,48,0.7690302398331595
18be12,370,3,75,0.7575289575289574
A026fe6,50,1,9,0.7571428571428572
A670146,74,4,70,0.7277992277992278
A2053b4,1,1,1,0.7142857142857143
Ad15ca3,6,1,1,0.7142857142857143
A18fded,1,1,1,0.7142857142857143
Ac1f496,12,1,2,0.7142857142857143
A6f625f,33,1,6,0.7142857142857143
Ad915f3,4,2,2,0.7142857142857143
A54f085,4,2,1,0.7142857142857143
Ad7e703,89,1,16,0.7142857142857143
A4a62c2,269,4,51,0.7137546468401487
A12c595,290,4,50,0.7098522167487685
A109e0f,148,5,27,0.7007722007722007
Af0082f,1223,5,227,0.6888213993692326
A49a079,95,1,17,0.6887218045112782
Adad2f2,55,1,11,0.683116883116883
A02306d,76,4,15,0.680451127819549
A9fbabf,169,3,45,0.621301775147929
Acbde3b,6,2,3,0.619047619047619
Ad137c9,4,1,1,0.5714285714285714
A348789,4,1,1,0.5714285714285714
Aed3782,226,1,74,0.5714285714285714
A96d1b3,6,1,1,0.5714285714285714
A86463a,6,1,1,0.5714285714285714
A99a662,54,3,27,0.5634920634920635
A6299d5,5,1,1,0.5142857142857143
A15f96f,3,1,1,0.47619047619047616
A5d1a01,169,2,36,0.3989856297548605
