Fund Allocator ID,Investment Manager Allocator ID,Source Asset,As At Date,Deal Status,Deal Status (derived),Unrealized Value,Realized Proceeds,Current Cost
Ac0dd42,A041a39,MoooFarm Pvt Limited,2026-03-31,Written Off,Fully Exited,0.0,-31301.0,0.0
Ade1748,A2d789a,Zhonghengneng,2026-03-31,Written Off,Fully Exited,0.0,-12716.0,0.0
A07e679,A2d789a,Jiefangbei,2026-03-31,Written Off,Fully Exited,0.0,-32725.0,0.0
Ac0dd42,A041a39,MoooFarm Pvt Limited,2025-12-31,Written Off,Fully Exited,0.0,-31301.0,0.0
Ade1748,A2d789a,Zhonghengneng,2025-12-31,Written Off,Fully Exited,0.0,-12716.0,0.0
A07e679,A2d789a,Jiefangbei,2025-12-31,Written Off,Fully Exited,0.0,-32725.0,0.0
A41fefa,A8d1733,Ami Cole Inc.,2025-12-31,Written Off,Fully Exited,0.0,-1918082.0,0.0
A41fefa,A8d1733,Brady Brand,2025-12-31,Written Off,Fully Exited,0.0,-9665502.0,0.0
A41fefa,A8d1733,Bread Beauty Inc.,2025-12-31,Written Off,Fully Exited,0.0,-1849918.0,0.0
A41fefa,A8d1733,Foxtrot,2025-12-31,Written Off,Fully Exited,0.0,-6071883.0,0.0
A41fefa,A8d1733,Goodfair,2025-12-31,Written Off,Fully Exited,0.0,-2549999.0,0.0
A41fefa,A8d1733,Simulate Inc (Nuggs),2025-12-31,Written Off,Fully Exited,0.0,-3306060.0,0.0
A80b715,A8d1733,"Ever/Body, Inc.",2025-12-31,Written Off,Fully Exited,0.0,-6312330.67,0.0
Ade1748,A2d789a,Zhonghengneng,2025-09-30,Written Off,Fully Exited,0.0,-12716.0,0.0
A07e679,A2d789a,Jiefangbei,2025-09-30,Written Off,Fully Exited,0.0,-32725.0,0.0
A3d41c0,Acc91f3,Testbook Edu Solutions Private Limited - Classplus,2025-09-30,Written Off,Fully Exited,0.0,-128709.74,0.0
Ade1748,A2d789a,Zhonghengneng,2025-06-30,Written Off,Fully Exited,0.0,-12716.0,0.0
A07e679,A2d789a,Jiefangbei,2025-06-30,Written Off,Fully Exited,0.0,-32725.0,0.0
A41fefa,A8d1733,Brady Brand,2025-06-30,Written Off,Fully Exited,0.0,-9679676.49,0.0
A41fefa,A8d1733,Foxtrot,2025-06-30,Written Off,Fully Exited,0.0,-6071883.05,0.0
A41fefa,A8d1733,Goodfair,2025-06-30,Written Off,Fully Exited,0.0,-2549999.0,0.0
A80b715,A8d1733,"Ever/Body, Inc.",2025-06-30,Written Off,Fully Exited,0.0,-6312330.67,0.0
Ade1748,A2d789a,Zhonghengneng,2025-03-31,Written Off,Fully Exited,0.0,-12716.0,0.0
A07e679,A2d789a,Jiefangbei,2025-03-31,Written Off,Fully Exited,0.0,-32725.0,0.0
Ade1748,A2d789a,Zhonghengneng,2024-12-31,Written Off,Fully Exited,0.0,-12716.0,0.0
A07e679,A2d789a,Jiefangbei,2024-12-31,Written Off,Fully Exited,0.0,-32725.0,0.0
