Fund Allocator ID,Investment Manager Allocator ID,Source Asset,source_asset_class,As At Date
Aa967c0,Afc0dbf,Non-Investment Assets - Cash,balance_sheet,2026-03-31
Aa967c0,Afc0dbf,Non-Investment Assets - Other Assets,balance_sheet,2026-03-31
Aa967c0,Afc0dbf,Non-Investment Liabilities - Other Liabilities,balance_sheet,2026-03-31
Ad52755,A664a6a,Non-Investment Assets - Cash,balance_sheet,2026-03-31
Ad52755,A664a6a,Non-Investment Assets - Other Assets,balance_sheet,2026-03-31
Ad52755,A664a6a,Non-Investment Liabilities - Other Liabilities,balance_sheet,2026-03-31
Ab73bb9,A664a6a,Non-Investment Assets - Cash *,balance_sheet,2026-03-31
Ab73bb9,A664a6a,Non-Investment Assets - Other Assets,balance_sheet,2026-03-31
Ab73bb9,A664a6a,Non-Investment Liabilities - Other Liabilities,balance_sheet,2026-03-31
Aa874b3,Afc0dbf,Non-Investment Assets - Cash,balance_sheet,2026-03-31
Aa874b3,Afc0dbf,Non-Investment Assets - Other Assets,balance_sheet,2026-03-31
Aa874b3,Afc0dbf,Non-Investment Liabilities - Other Liabilities,balance_sheet,2026-03-31
A87187f,Afc0dbf,Non-Investment Assets - Cash,balance_sheet,2026-03-31
A87187f,Afc0dbf,Non-Investment Assets - Other Assets,balance_sheet,2026-03-31
A87187f,Afc0dbf,Non-Investment Liabilities - Other Liabilities,balance_sheet,2026-03-31
Ae8bf4c,Afc0dbf,Non-Investment Assets - Cash,balance_sheet,2026-03-31
Ae8bf4c,Afc0dbf,Non-Investment Liabilities - Other Liabilities,balance_sheet,2026-03-31
Ad0fa4d,Aa3bbc4,Non-Investment Assets - Cash,balance_sheet,2026-03-31
Ad0fa4d,Aa3bbc4,Non-Investment Liabilities - Other Liabilities,balance_sheet,2026-03-31
Abeff42,Afbe003,Non-Investment Assets - Other Assets,balance_sheet,2026-03-31
Abeff42,Afbe003,Non-Investment Liabilities - Subscription Line of Credit,balance_sheet,2026-03-31
A1fd1d1,Afbe003,Non-Investment Liabilities - Other Liabilities,balance_sheet,2026-03-31
A1ea2a3,A041a39,Non-Investment Assets - Cash,balance_sheet,2026-03-31
A1ea2a3,A041a39,Non-Investment Assets - Other Assets,balance_sheet,2026-03-31
A1ea2a3,A041a39,Non-Investment Liabilities - Other Liabilities,balance_sheet,2026-03-31
A825f85,A041a39,Non-Investment Assets - Cash,balance_sheet,2026-03-31
A825f85,A041a39,Non-Investment Assets - Other Assets,balance_sheet,2026-03-31
A825f85,A041a39,Non-Investment Liabilities - Other Liabilities,balance_sheet,2026-03-31
Af08fa6,A041a39,Non-Investment Assets - Cash,balance_sheet,2026-03-31
Af08fa6,A041a39,Non-Investment Assets - Other Assets,balance_sheet,2026-03-31
Af08fa6,A041a39,Non-Investment Liabilities - Other Liabilities,balance_sheet,2026-03-31
A9d1e8c,A041a39,Non-Investment Assets - Cash,balance_sheet,2026-03-31
