Fund Allocator ID,Investment Manager Allocator ID,Source Asset,As At Date,Capital Invested,Deal Status,Current Cost,Realized Proceeds,Unrealized Value,n_missing
94148b,c51f36,Kraken,2026-03-31,,,,,,5
A096a41,Aa130ea,Seed Investments,2024-12-31,,,,,,5
A0d2a71,A6a0407,Miggo Security Ltd.,2025-03-31,,,,,,5
A0d2a71,A6a0407,SquareX,2025-03-31,,,,,,5
A0d2a71,A6a0407,Miggo Security Ltd.,2024-12-31,,,,,,5
A0d2a71,A6a0407,SquareX,2024-12-31,,,,,,5
A0e8f48,Aa3bbc4,Memphis Grizzlies,2025-06-30,,,,,,5
A0e8f48,Aa3bbc4,Memphis Grizzlies,2024-12-31,,,,,,5
A124f9d,A026529,Everyday Intelligence,2025-12-31,,,,,,5
A124f9d,A026529,"Powerset I, L.P.",2025-12-31,,,,,,5
A124f9d,A026529,NEO 4.0,2024-12-31,,,,,,5
A124f9d,A026529,PineGrove Capital Partners I,2024-12-31,,,,,,5
A124f9d,A026529,"Powerset I, L.P.",2024-12-31,,,,,,5
A124f9d,A026529,Virtue V2,2024-12-31,,,,,,5
A1554e9,A664a6a,"Persivia, Inc.",2024-12-31,,,,,,5
A162a33,A9fbabf,Sarku,2025-09-30,,,,,,5
A162a33,A9fbabf,Grizzly MEP,2025-03-31,,,,,,5
A162a33,A9fbabf,Honey Baked Ham,2025-03-31,,,,,,5
A162a33,A9fbabf,Sarku,2025-03-31,,,,,,5
A162a33,A9fbabf,Skybound Services Partners,2025-03-31,,,,,,5
A162a33,A9fbabf,Honey Baked Ham,2024-12-31,,,,,,5
A19d854,A899074,"NP Kaba Holdings, LP",2025-12-31,,,,,,5
A19d854,A899074,"NP Kaba Holdings, LP",2025-06-30,,,,,,5
A19d854,A899074,"Nautic Ideal Components Aggregator, LLC",2025-03-31,,,,,,5
A19d854,A899074,"NP Kaba Holdings, LP",2024-12-31,,,,,,5
A19d854,A899074,"Nautic Ideal Components Aggregator, LLC",2024-12-31,,,,,,5
A19d854,A899074,"Nautic Vybond Holdings, LLC",2024-12-31,,,,,,5
