Fund Allocator ID,Investment Manager Allocator ID,Source Asset,As At Date,Deal Status,missing_expected_fields
Aa967c0,Afc0dbf,"8000 Tartak Street Owner LLC (""Embassy Suites"")",2026-03-31,Current,Capital Invested
Ad52755,A664a6a,"Paymerang, LLC",2026-03-31,Fully Exited,Capital Invested
Ab73bb9,A664a6a,"eHealth Global Technologies, Inc",2026-03-31,Current,Capital Invested
Aa874b3,Afc0dbf,"LAQ 2023-LAQ Class G Mortgage Trust (""CMBS"")",2026-03-31,Current,Capital Invested
A87187f,Afc0dbf,ACP Newbury 2 Investor LLC,2026-03-31,Current,Capital Invested
Acc9329,A041a39,Arcanist (TwoArcanists Corp.),2026-03-31,Current,Geographic Focus
Acc9329,A041a39,"Arda Industries, Inc.",2026-03-31,Current,Geographic Focus
Acc9329,A041a39,"Induction AI, Inc.",2026-03-31,Current,Geographic Focus
Ae7bb35,A5d1a01,Alo,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
Ae7bb35,A5d1a01,Apotek Hjrtat,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
Ae7bb35,A5d1a01,CTEK,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
Ae7bb35,A5d1a01,Carnegie,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
Ae7bb35,A5d1a01,Curato,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
Ae7bb35,A5d1a01,EWOS,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
Ae7bb35,A5d1a01,Eltek,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
Ae7bb35,A5d1a01,FMD,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
Ae7bb35,A5d1a01,Max Matthiessen,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
Ae7bb35,A5d1a01,Meltwater,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
Ae7bb35,A5d1a01,Norsk Gjenvinning,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
Ae7bb35,A5d1a01,Nova Austral,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
Ae7bb35,A5d1a01,ONE Nordic,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
Ae7bb35,A5d1a01,Orchid,2026-03-31,,"Capital Invested, Deal Status"
Ae7bb35,A5d1a01,SATS,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
Ae7bb35,A5d1a01,Sonion,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
A63aa12,Ac758cf,Dossier,2026-03-31,Current,"Sector, Geographic Focus"
A6fcde0,A6f625f,"AIM Parent Holdings, LLC",2026-03-31,Current,Capital Invested
A6fcde0,A6f625f,"ARF CLC Holdings, LLC",2026-03-31,Current,Capital Invested
A6fcde0,A6f625f,"American Tanker Holding Company, Inc.",2026-03-31,Current,Capital Invested
A6fcde0,A6f625f,"MG Transport Holdings, LLC",2026-03-31,Current,Capital Invested
A6fcde0,A6f625f,Other Investments,2026-03-31,Current,Capital Invested
A6fcde0,A6f625f,U.S. Marine Management LLC,2026-03-31,Current,Capital Invested
A80d33a,Ad15ca3,Armour Group Limited,2026-03-31,Current,Capital Invested
A3cb5c7,A109e0f,"AP Fund Holdings, LP",2026-03-31,Current,Capital Invested
A3cb5c7,A109e0f,"Ara AG Fiber Aggregator, LP",2026-03-31,Current,Capital Invested
A3cb5c7,A109e0f,"Ara Aloxe, Ltd.",2026-03-31,Current,Capital Invested
A3cb5c7,A109e0f,"Ara CM Holdings, LP",2026-03-31,Current,Capital Invested
A3cb5c7,A109e0f,"Ara Divert Holdings, LP",2026-03-31,Current,Capital Invested
A3cb5c7,A109e0f,"Ara Fund II BW Holdings, LP",2026-03-31,Current,Capital Invested
A3cb5c7,A109e0f,"Ara Fund II H2 Holdings, LP",2026-03-31,Current,Capital Invested
A3cb5c7,A109e0f,"Ara Fund II ST Holdings, LP",2026-03-31,Current,Capital Invested
A3cb5c7,A109e0f,"Ara PG Aggregator II, LP",2026-03-31,Current,Capital Invested
A3cb5c7,A109e0f,"Ara PG Aggregator, LP",2026-03-31,Current,Capital Invested
A3cb5c7,A109e0f,"Ara PS Holdings, LP",2026-03-31,Current,Capital Invested
A3cb5c7,A109e0f,"Ara Repeats Holdings, Ltd.",2026-03-31,,"Capital Invested, Deal Status"
A3cb5c7,A109e0f,"Cycle0 Aggregatorco, Ltd.",2026-03-31,Current,Capital Invested
A3cb5c7,A109e0f,PET AGG Limited (UK),2026-03-31,Current,Capital Invested
A930514,A109e0f,Ara Fund I Annex,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
A930514,A109e0f,"Ara Fund III Splitter, LP",2026-03-31,Current,Capital Invested
A930514,A109e0f,"Ara Sedron Holdings, LP",2026-03-31,Current,Capital Invested
A930514,A109e0f,BioVeritas,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
A930514,A109e0f,CFP Energy,2026-03-31,Current,Capital Invested
A930514,A109e0f,Cycle0,2026-03-31,Current,Capital Invested
A930514,A109e0f,GIDARA Energy,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
A930514,A109e0f,Genera,2026-03-31,Current,Capital Invested
A930514,A109e0f,Microtec,2026-03-31,Current,Capital Invested
A930514,A109e0f,Paratus,2026-03-31,Current,Capital Invested
A930514,A109e0f,Utility Global,2026-03-31,,"Capital Invested, Current Cost, Unrealized Value, Deal Status"
A930514,A109e0f,Vacuumschmelze (VAC),2026-03-31,Current,Capital Invested
Afc9d9d,A109e0f,"Ara PG Aggregator, LP",2026-03-31,Current,Capital Invested
A6514b0,A109e0f,"Ara VAC IE Aggregator, LP",2026-03-31,Current,Capital Invested
