Fund Allocator ID,cadence
94148b,quarterly
A000c43,quarterly
A048b87,quarterly
A06207a,quarterly
A06c397,quarterly
A073c3d,quarterly
A07e679,quarterly
A0841e0,quarterly
A092704,annual
A096a41,quarterly
A0a0599,quarterly
A0af6ce,quarterly
A0d0dd8,quarterly
A0d2a71,quarterly
A0e8f48,quarterly
A103ce5,quarterly
A1137b9,quarterly
A115be1,single-period
A11730c,quarterly
A11f7a2,quarterly
A124f9d,quarterly
A13b1e6,quarterly
A13f39c,quarterly
A145642,quarterly
A14ab79,quarterly
A153d68,quarterly
A1554e9,quarterly
A159f57,quarterly
A162a33,quarterly
A16c87d,quarterly
A18cb9a,quarterly
A191419,quarterly
A19d854,quarterly
A1bb7a5,quarterly
A1c6bfc,quarterly
A1cae97,quarterly
A1cecbf,quarterly
A1d6a44,quarterly
A1e03e2,single-period
A1e1987,quarterly
A1e32ac,quarterly
A1e8a7e,quarterly
A1ea2a3,quarterly
A1ecf04,quarterly
A1f001f,quarterly
A1f3d5e,quarterly
A1f6229,annual
A1fd1d1,quarterly
A208478,quarterly
A20f76b,quarterly
A21846d,quarterly
A21e474,quarterly
A221849,single-period
A2234f1,quarterly
A2257c0,quarterly
A229eeb,quarterly
A23025c,quarterly
A23dda7,quarterly
A23ee88,quarterly
A26a0d1,quarterly
A2799f7,quarterly
A279d4f,quarterly
A27adfb,quarterly
A28d8b6,quarterly
A28fbd7,quarterly
A2989df,quarterly
A29c2b9,quarterly
A2a38e9,quarterly
A2a4d74,quarterly
A2a9ea5,quarterly
A2ac14e,quarterly
A2ac41e,quarterly
A2b1837,quarterly
A2b73e4,quarterly
A2c973b,semi-annual
A2ce6c1,quarterly
A2cf5a1,quarterly
A2d1148,quarterly
A2f629e,quarterly
A31289e,single-period
A31bf6d,quarterly
A32ca97,quarterly
A355e2c,quarterly
A36cf78,annual
A394dd9,quarterly
A396ea8,quarterly
A3bbfd6,quarterly
A3bf5bd,quarterly
A3c99e8,quarterly
A3cb5c7,quarterly
A3cde4b,quarterly
A3d41c0,quarterly
A3e5704,annual
A3e929e,quarterly
A3fdcff,quarterly
A4081d6,quarterly
A40c919,quarterly
A40cc93,quarterly
A41676f,quarterly
A41fefa,quarterly
A429e54,quarterly
A433d90,quarterly
A43502d,quarterly
A4350ff,annual
A43c056,quarterly
A44702b,quarterly
A44bd87,annual
A4656cb,quarterly
A466539,quarterly
A471573,quarterly
A479270,quarterly
A48791b,quarterly
A4923d3,quarterly
A4974ad,annual
A4c5dcd,quarterly
A4ce2f8,quarterly
A4d752f,quarterly
A4d85cc,quarterly
A4e3f9d,quarterly
A4e4547,annual
A4e71f3,quarterly
A4f0eca,quarterly
A4f6e3c,annual
A4fec46,quarterly
A4ff5ec,quarterly
A4ff743,quarterly
A51255c,quarterly
A51914b,quarterly
A51cf14,quarterly
A51d5e4,quarterly
A5466bf,quarterly
A5479e2,quarterly
A5494b2,quarterly
A555d5f,annual
A557ea2,quarterly
A5596ab,quarterly
A56bafa,quarterly
A56ea14,quarterly
A577ed1,quarterly
A583186,quarterly
A583f8f,annual
A5a0710,quarterly
A5bb3fe,quarterly
A5bfee3,quarterly
A6019fe,quarterly
A60210b,quarterly
A615cff,single-period
A639c17,annual
A63aa12,quarterly
A64d20c,quarterly
A64ed3d,quarterly
A6514b0,quarterly
A6557da,quarterly
A65fb68,quarterly
A666ff0,quarterly
A6709ea,quarterly
A67395e,quarterly
A67b879,quarterly
A67c3e6,quarterly
A680edc,quarterly
A681b8b,quarterly
A6a1271,quarterly
A6a2745,quarterly
A6b418c,quarterly
A6bfae0,quarterly
A6c91e2,quarterly
A6d0e2b,quarterly
A6e113b,quarterly
A6e6143,quarterly
A6e9d21,quarterly
A6f42ff,quarterly
A6f76d1,single-period
A6fcde0,quarterly
A7199bc,quarterly
A722c06,quarterly
A723435,quarterly
A729d8b,quarterly
A72c0d9,quarterly
A72f874,quarterly
A73775f,quarterly
A73be2a,quarterly
A74c64f,quarterly
A751851,quarterly
A758776,quarterly
A75eb76,quarterly
A775233,quarterly
A77a5f6,quarterly
A7804fe,annual
A780765,quarterly
A79043d,quarterly
A7906e8,quarterly
A7b4ffd,quarterly
A7bc2d3,quarterly
A7bcb3d,single-period
A7d911d,quarterly
A7dba47,quarterly
A7e6207,quarterly
A7ead5b,quarterly
A7ed594,quarterly
A7eee3e,quarterly
A80b715,quarterly
A80d33a,quarterly
A80d406,semi-annual
A80ede9,quarterly
A8244d8,quarterly
A825f85,quarterly
A8282d7,quarterly
A828a39,quarterly
A82f5de,quarterly
A83c2dd,quarterly
A84711b,quarterly
A84826f,quarterly
A85406a,quarterly
A8567d1,quarterly
A86b250,quarterly
A86e0b1,quarterly
A87187f,quarterly
A87a21d,quarterly
A8b56b9,quarterly
A8b6332,quarterly
A8bb104,quarterly
A8cbf09,quarterly
A8cdb70,quarterly
A8d4882,quarterly
A8ff6ae,quarterly
A930514,quarterly
A947e8c,quarterly
A960738,single-period
A97e381,quarterly
A9859d3,quarterly
A996a8a,quarterly
A99e32e,quarterly
A9b3aeb,quarterly
A9c9bb9,quarterly
A9d1e8c,quarterly
A9e2889,quarterly
A9ffbf3,quarterly
Aa0a993,quarterly
Aa12a53,quarterly
Aa2c385,quarterly
Aa56f0f,annual
Aa5a4bb,quarterly
Aa5bde6,quarterly
Aa71003,quarterly
Aa76711,quarterly
Aa7f6d4,single-period
Aa82eac,quarterly
Aa874b3,quarterly
Aa967c0,quarterly
Aa98e63,quarterly
Aaa2cfe,quarterly
Aaab069,quarterly
Aab52e1,quarterly
Aabdf3f,annual
Aabfb4f,quarterly
Aac1486,quarterly
Aadd548,quarterly
Aae6df0,quarterly
Ab0a5da,quarterly
Ab0ee02,annual
Ab1beeb,quarterly
Ab2a293,quarterly
Ab3ea87,quarterly
Ab4033d,quarterly
Ab408e9,annual
Ab560d4,quarterly
Ab5e21c,quarterly
Ab73bb9,quarterly
Ab781b9,quarterly
Ab7a076,quarterly
Ab7dccf,quarterly
Ab7e680,single-period
Ab80ef5,quarterly
Ab89eda,quarterly
Aba444d,quarterly
Aba6caa,quarterly
Aba96b1,quarterly
Abac9c0,quarterly
Abacebf,quarterly
Abb96b2,quarterly
Abbf14a,quarterly
Abc54d3,annual
Abd887e,quarterly
Abeff42,quarterly
Ac01bd2,quarterly
Ac0dd42,quarterly
Ac15ed6,quarterly
Ac16b86,quarterly
Ac1eb23,quarterly
Ac33ef9,quarterly
Ac472e1,quarterly
Ac58438,quarterly
Ac6e10f,quarterly
Ac71115,quarterly
Acac167,quarterly
Acc4ce2,quarterly
Acc4dee,quarterly
Acc6f90,quarterly
Acc9329,quarterly
Accb8dc,quarterly
Acd9669,quarterly
Acd9cbe,quarterly
Ace087b,quarterly
Ace52ab,annual
Ace7356,annual
Acff5f3,quarterly
Ad0fa4d,quarterly
Ad10bcf,quarterly
Ad1697b,quarterly
Ad18ba4,quarterly
Ad1a396,quarterly
Ad2d94c,quarterly
Ad52755,quarterly
Ad5c332,quarterly
Ad6af15,quarterly
Ad6bb64,quarterly
Ad880d6,quarterly
Ad8891c,quarterly
Ad893bb,quarterly
Ada12ca,quarterly
Adbd48d,quarterly
Adc57d5,quarterly
Ade1748,quarterly
Adeb96a,quarterly
Adf56a5,quarterly
Adfb13d,quarterly
Ae04ceb,quarterly
Ae10016,quarterly
Ae1b92f,quarterly
Ae1bc14,quarterly
Ae1ec02,quarterly
Ae20eb8,annual
Ae27857,quarterly
Ae2a183,quarterly
Ae2ca7f,quarterly
Ae3893b,quarterly
Ae4c498,quarterly
Ae4d75e,quarterly
Ae4d9bf,quarterly
Ae4f50d,quarterly
Ae561e7,quarterly
Ae5aac1,quarterly
Ae64fa8,quarterly
Ae66dbf,quarterly
Ae67360,quarterly
Ae6e0df,quarterly
Ae7bb35,quarterly
Ae848ec,quarterly
Ae8bf4c,quarterly
Aebcab9,quarterly
Aec91fb,quarterly
Aeccf59,quarterly
Aeedb32,quarterly
Aef37a9,quarterly
Af017ce,quarterly
Af08fa6,quarterly
Af14abd,quarterly
Af16116,annual
Af289f4,quarterly
Af38835,quarterly
Af390f9,quarterly
Af3dbec,quarterly
Af3e452,quarterly
Af4e6f7,quarterly
Af5c876,single-period
Af5fed4,quarterly
Af5ff4f,quarterly
Af6593f,quarterly
Af75e33,quarterly
Af76863,single-period
Af7f070,annual
Af8d59f,quarterly
Af8dafa,quarterly
Afa36f2,annual
Afa85c1,quarterly
Afb294f,quarterly
Afb9c3e,quarterly
Afc4e50,quarterly
Afc9d9d,quarterly
Afd067a,quarterly
Afd1cbe,quarterly
Afed02f,quarterly
Aff00c9,quarterly
Aff6f98,quarterly
Affdff0,quarterly
