Fund Allocator ID,Source Asset,first,last,n_periods,expected,gap_periods,cadence
A82f5de,Derivatives,2024-12-31,2025-12-31,2,5,3,quarterly
Ae5aac1,HS Investments SEAF 21m Limited,2024-12-31,2025-12-31,2,5,3,quarterly
A44702b,Deductive AI,2024-12-31,2025-12-31,2,5,3,quarterly
A680edc,Solidroad,2024-12-31,2026-03-31,3,6,3,quarterly
A396ea8,HS Investments III Limited,2024-12-31,2025-12-31,2,5,3,quarterly
Aa5bde6,"Tava Health, Inc.",2024-12-31,2026-03-31,3,6,3,quarterly
Ae5aac1,HS Investments SEA Fire Limited,2024-12-31,2025-12-31,2,5,3,quarterly
Ae5aac1,HS Investments SEA Surry Limited,2024-12-31,2025-12-31,2,5,3,quarterly
A8cbf09,Hunter Communications,2025-03-31,2026-03-31,2,5,3,quarterly
Ab7dccf,Other Investments,2024-12-31,2025-12-31,2,5,3,quarterly
A72f874,Wujiexing,2025-06-30,2026-03-31,2,4,2,quarterly
A74c64f,Maker,2024-12-31,2026-03-31,4,6,2,quarterly
Aac1486,"Level, Inc.",2024-12-31,2026-03-31,4,6,2,quarterly
A74c64f,"Primitive Bits, Inc.",2024-12-31,2026-03-31,4,6,2,quarterly
A72f874,"Lightwheel Al (Beijing) Technology Co., LTD.",2024-12-31,2026-03-31,4,6,2,quarterly
A74c64f,Skip Protocol Inc.,2024-12-31,2026-03-31,4,6,2,quarterly
A87a21d,Twin Hospitality LLC,2024-12-31,2025-09-30,2,4,2,quarterly
A60210b,CI Financial,2024-12-31,2026-03-31,4,6,2,quarterly
A8b56b9,Sudoswap,2024-12-31,2025-09-30,2,4,2,quarterly
A7ead5b,"First Eagle Investment Management, LLC",2024-12-31,2026-03-31,4,6,2,quarterly
A5bfee3,Security Risk Advisors,2024-12-31,2026-03-31,4,6,2,quarterly
A8b6332,"NP Kaba Holdings, LP",2024-12-31,2026-03-31,4,6,2,quarterly
A8b56b9,Maker (MKR),2024-12-31,2025-09-30,2,4,2,quarterly
Afed02f,"Nautic Senderra Rx Investments, LP",2024-12-31,2026-03-31,4,6,2,quarterly
Aa71003,Parkstone at Indian Land,2024-12-31,2025-12-31,3,5,2,quarterly
A2a4d74,"Open AI Global, LLC",2024-12-31,2026-03-31,4,6,2,quarterly
Aa5bde6,"RunBuggy OMI, Inc",2024-12-31,2026-03-31,4,6,2,quarterly
A29c2b9,"MoboTrex, LLC",2024-12-31,2026-03-31,4,6,2,quarterly
A4923d3,Lit Communities,2024-12-31,2025-09-30,2,4,2,quarterly
A2257c0,"First Eagle Investment Management, LLC",2024-12-31,2026-03-31,4,6,2,quarterly
A4d752f,Security Risk Advisors,2024-12-31,2026-03-31,4,6,2,quarterly
Aa5bde6,"Reggora, Inc.",2024-12-31,2026-03-31,4,6,2,quarterly
A19d854,"NP Kaba Holdings, LP",2024-12-31,2026-03-31,4,6,2,quarterly
A40cc93,"Phylum, Inc.",2024-12-31,2025-12-31,3,5,2,quarterly
Af4e6f7,"TSRV-A, LLC",2024-12-31,2025-12-31,3,5,2,quarterly
Afed02f,"NP Kaba Holdings, LP",2024-12-31,2026-03-31,4,6,2,quarterly
Aaab069,Myers EPS,2024-12-31,2026-03-31,5,6,1,quarterly
Ab3ea87,SPT Group,2024-12-31,2025-12-31,4,5,1,quarterly
Ab3ea87,Vatus,2024-12-31,2025-12-31,4,5,1,quarterly
Ab3ea87,WSS,2024-12-31,2025-12-31,4,5,1,quarterly
Aaab069,Mercer,2024-12-31,2026-03-31,5,6,1,quarterly
Ab3ea87,AGR,2024-12-31,2025-12-31,4,5,1,quarterly
Aaab069,OptConnect,2024-12-31,2026-03-31,5,6,1,quarterly
Ab3ea87,Akers/Ampco- Pittsburgh,2024-12-31,2025-12-31,4,5,1,quarterly
Ab3ea87,Relacom (Fund II),2024-12-31,2025-12-31,4,5,1,quarterly
Ab3ea87,PIAB,2024-12-31,2025-12-31,4,5,1,quarterly
Ab3ea87,NorthStar,2024-12-31,2025-12-31,4,5,1,quarterly
Ab3ea87,Lindorff (Fund II),2024-12-31,2025-12-31,4,5,1,quarterly
Ab3ea87,Helly Hansen,2024-12-31,2025-12-31,4,5,1,quarterly
Ab3ea87,Euro Cater,2024-12-31,2025-12-31,4,5,1,quarterly
Ab3ea87,EDS (Fund II),2024-12-31,2025-12-31,4,5,1,quarterly
Ab3ea87,Dustin,2024-12-31,2025-12-31,4,5,1,quarterly
Aba6caa,"Bird Global, Inc.",2025-03-31,2026-03-31,4,5,1,quarterly
Ab3ea87,Altor II Holdings Limited,2024-12-31,2025-12-31,4,5,1,quarterly
Ab3ea87,Constructor,2024-12-31,2025-12-31,4,5,1,quarterly
Aba6caa,Qubole Inc. (fka Canopy Data Inc.),2024-12-31,2026-03-31,5,6,1,quarterly
Aba6caa,"Cybereason, Inc.",2024-12-31,2026-03-31,5,6,1,quarterly
Aba6caa,Metawork Corporation,2025-03-31,2026-03-31,4,5,1,quarterly
